省份,城市,站点,经度,纬度
北京市       ,北京市       ,天坛                                                ,116.407,39.886
北京市       ,北京市       ,东四                                                ,116.417,39.929
北京市       ,北京市       ,奥体中心                                              ,116.397,39.982
北京市       ,北京市       ,云岗                                                ,116.146,39.824
北京市       ,北京市       ,昌平                                                ,116.23,40.217
北京市       ,北京市       ,平谷                                                ,117.1,40.143
北京市       ,北京市       ,怀柔                                                ,116.628,40.328
北京市       ,北京市       ,密云                                                ,116.832,40.37
北京市       ,北京市       ,延庆                                                ,115.972,40.453
北京市       ,北京市       ,八达岭                                               ,115.988,40.365
北京市       ,北京市       ,密云水库                                              ,116.911,40.499
北京市       ,北京市       ,东高村                                               ,117.12,40.1
北京市       ,北京市       ,官园                                                ,116.339,39.929
北京市       ,北京市       ,万寿西宫                                              ,116.352,39.878
北京市       ,北京市       ,农展馆                                               ,116.461,39.937
北京市       ,北京市       ,万柳                                                ,116.287,39.987
北京市       ,北京市       ,北部新区                                              ,116.174,40.09
北京市       ,北京市       ,植物园                                               ,116.207,40.002
北京市       ,北京市       ,丰台花园                                              ,116.279,39.863
北京市       ,北京市       ,古城                                                ,116.184,39.914
北京市       ,北京市       ,房山                                                ,116.136,39.742
北京市       ,北京市       ,大兴                                                ,116.404,39.718
北京市       ,北京市       ,亦庄                                                ,116.506,39.795
北京市       ,北京市       ,通州                                                ,116.663,39.886
北京市       ,北京市       ,顺义                                                ,116.655,40.127
北京市       ,北京市       ,门头沟                                               ,116.106,39.937
北京市       ,北京市       ,永乐店                                               ,116.783,39.712
北京市       ,北京市       ,榆垡                                                ,116.3,39.52
北京市       ,北京市       ,琉璃河                                               ,116.0,39.58
北京市       ,北京市       ,前门                                                ,116.395,39.899
北京市       ,北京市       ,永定门内                                              ,116.394,39.876
北京市       ,北京市       ,西直门北                                              ,116.349,39.954
北京市       ,北京市       ,南三环                                               ,116.368,39.856
北京市       ,北京市       ,东四环                                               ,116.483,39.939
北京市       ,北京市       ,定陵                                                ,116.22,40.292
