省份,城市,站点,经度,纬度
河北省       ,石家庄市      ,市区西南高教                                            ,114.467,38.012
河北省       ,石家庄市      ,市区22中南校区                                          ,114.562,38.042
河北省       ,石家庄市      ,市区职工医院                                            ,114.455,38.051
河北省       ,石家庄市      ,市区人民会堂                                            ,114.521,38.052
河北省       ,石家庄市      ,市区西北水源                                            ,114.502,38.14
河北省       ,石家庄市      ,市区高新区                                             ,114.605,38.04
河北省       ,石家庄市      ,鹿泉一中(*)                                           ,114.347,38.085
河北省       ,石家庄市      ,正定联通公司(*)                                         ,114.593,38.159
河北省       ,石家庄市      ,栾城通讯公司(*)                                         ,114.633,37.906
河北省       ,石家庄市      ,藁城实验学校(*)                                         ,114.862,38.039
河北省       ,石家庄市      ,晋州博纳德(*)                                          ,115.079,38.04
河北省       ,石家庄市      ,新乐市委东楼(*)                                         ,114.69,38.349
河北省       ,石家庄市      ,无极环保局(*)                                          ,114.991,38.178
河北省       ,石家庄市      ,深泽供电局(*)                                          ,115.213,38.197
河北省       ,石家庄市      ,赵县环保局(*)                                          ,114.77,37.771
河北省       ,石家庄市      ,高邑县政府(*)                                          ,114.607,37.623
河北省       ,石家庄市      ,元氏住建局(*)                                          ,114.517,37.766
河北省       ,石家庄市      ,赞皇县政府(*)                                          ,114.392,37.672
河北省       ,石家庄市      ,井陉县气象局(*)                                         ,114.152,38.038
河北省       ,石家庄市      ,平山冶河(*)                                           ,114.204,38.266
河北省       ,石家庄市      ,灵寿供水(*)                                           ,114.367,38.315
河北省       ,石家庄市      ,行唐县委办公楼(*)                                        ,114.56,38.444
河北省       ,辛集市       ,辛集市政府                                             ,115.224,37.949
河北省       ,承德市       ,铁路                                                ,117.966,40.916
河北省       ,承德市       ,文化中心                                              ,117.818,40.973
河北省       ,承德市       ,中国银行                                              ,117.952,40.984
河北省       ,承德市       ,开发区                                               ,117.963,40.936
河北省       ,承德市       ,兴隆矿业招待所(*)                                        ,117.669,40.552
河北省       ,承德市       ,承德县环保局(*)                                         ,118.17,40.775
河北省       ,承德市       ,兴隆县政府(*)                                          ,117.507,40.423
河北省       ,承德市       ,滦平环保局(*)                                          ,117.344,40.949
河北省       ,承德市       ,隆化县环保局(*)                                         ,117.733,41.31
河北省       ,承德市       ,丰宁县政府(*)                                          ,116.652,41.215
河北省       ,承德市       ,宽城县政府(*)                                          ,118.48,40.612
河北省       ,承德市       ,围场县政府(*)                                          ,117.771,41.956
河北省       ,平泉县       ,平泉县特教中心                                           ,118.699,41.017
河北省       ,张家口市      ,世纪豪园                                              ,114.903,40.769
河北省       ,张家口市      ,人民公园                                              ,114.898,40.837
河北省       ,张家口市      ,五金库                                               ,114.881,40.811
河北省       ,张家口市      ,探机厂                                               ,114.892,40.795
河北省       ,张家口市      ,宣化区军营凤凰城(*)                                       ,115.106,40.615
河北省       ,张家口市      ,下花园环保局(*)                                         ,115.296,40.508
河北省       ,张家口市      ,宣化县沙岭子医院(*)                                       ,114.917,40.677
河北省       ,张家口市      ,张北县环保局(*)                                         ,114.726,41.165
河北省       ,张家口市      ,康保县环保局(*)                                         ,114.585,41.836
河北省       ,张家口市      ,沽源县福利院(*)                                         ,115.681,41.668
河北省       ,张家口市      ,北泵房(*)                                            ,114.904,40.873
河北省       ,石家庄市      ,市区封龙山(*)                                          ,114.354,37.91
河北省       ,张家口市      ,阳原县职教中心(*)                                        ,114.128,40.105
河北省       ,张家口市      ,怀安环保局(*)                                          ,114.392,40.68
河北省       ,张家口市      ,万全县环保局(*)                                         ,114.744,40.769
河北省       ,张家口市      ,涿鹿县环保局(*)                                         ,115.215,40.373
河北省       ,张家口市      ,赤城北山(*)                                           ,115.838,40.919
河北省       ,怀来县       ,怀来府前小学                                            ,115.524,40.421
河北省       ,秦皇岛市      ,市监测站                                              ,119.602,39.957
河北省       ,秦皇岛市      ,北戴河                                               ,119.526,39.828
河北省       ,秦皇岛市      ,第一关                                               ,119.762,40.018
河北省       ,秦皇岛市      ,建设大厦                                              ,119.537,39.942
河北省       ,秦皇岛市      ,市政府                                               ,119.607,39.936
河北省       ,秦皇岛市      ,青龙环保局(*)                                          ,118.952,40.418
河北省       ,秦皇岛市      ,昌黎环保局(*)                                          ,119.167,39.713
河北省       ,秦皇岛市      ,抚宁党校(*)                                           ,119.251,39.882
河北省       ,秦皇岛市      ,卢龙县气象局(*)                                         ,118.899,39.9
河北省       ,唐山市       ,陶瓷公司                                              ,118.219,39.668
河北省       ,唐山市       ,雷达站子站                                             ,118.144,39.643
河北省       ,唐山市       ,供销社                                               ,118.166,39.631
河北省       ,唐山市       ,十二中                                               ,118.184,39.658
河北省       ,唐山市       ,物资局                                               ,118.185,39.641
河北省       ,唐山市       ,小山                                                ,118.2,39.63
河北省       ,唐山市       ,古冶区政府(*)                                          ,118.454,39.74
河北省       ,唐山市       ,开平监测站(*)                                          ,118.269,39.674
河北省       ,唐山市       ,丰南区政府(*)                                          ,118.091,39.582
河北省       ,唐山市       ,丰润区政府(*)                                          ,118.169,39.839
河北省       ,唐山市       ,滦县第一中学(*)                                         ,118.71,39.747
河北省       ,唐山市       ,滦南县县政府(*)                                         ,118.681,39.51
河北省       ,唐山市       ,乐亭县综合职校(*)                                        ,118.919,39.432
河北省       ,唐山市       ,迁西环保局(*)                                          ,118.311,40.152
河北省       ,唐山市       ,玉田县政府(*)                                          ,117.745,39.907
河北省       ,唐山市       ,曹妃甸新立小学(*)                                        ,118.456,39.29
河北省       ,唐山市       ,遵化环保局(*)                                          ,117.991,40.205
河北省       ,迁安市       ,迁安一中                                              ,118.711,40.003
河北省       ,廊坊市       ,环境监测监理中心                                          ,116.715,39.557
河北省       ,廊坊市       ,药材公司                                              ,116.684,39.518
河北省       ,廊坊市       ,北华航天学院                                            ,116.737,39.534
河北省       ,廊坊市       ,固安党校(*)                                           ,116.305,39.445
河北省       ,廊坊市       ,永清环保局(*)                                          ,116.505,39.328
河北省       ,廊坊市       ,香河环保局(*)                                          ,117.009,39.766
河北省       ,廊坊市       ,大城环保局(*)                                          ,116.66,38.712
河北省       ,廊坊市       ,文安县环保局(*)                                         ,116.464,38.88
河北省       ,廊坊市       ,大厂卫生局(*)                                          ,116.998,39.89
河北省       ,廊坊市       ,霸州顺达燃气(*)                                         ,116.398,39.132
河北省       ,廊坊市       ,三河交通局(*)                                          ,117.085,39.988
河北省       ,保定市       ,市监测站                                              ,115.521,38.871
河北省       ,保定市       ,地表水厂                                              ,115.461,38.842
河北省       ,保定市       ,华电二区                                              ,115.522,38.896
河北省       ,保定市       ,接待中心                                              ,115.471,38.911
河北省       ,保定市       ,胶片厂                                               ,115.442,38.876
河北省       ,保定市       ,游泳馆                                               ,115.493,38.863
河北省       ,保定市       ,满城税务局(*)                                          ,115.329,38.955
河北省       ,保定市       ,清苑县政府(*)                                          ,115.496,38.771
河北省       ,保定市       ,涞水县环境监测站(*)                                       ,115.713,39.393
河北省       ,保定市       ,阜平县环保局(*)                                         ,114.194,38.851
河北省       ,保定市       ,徐水环保局(*)                                          ,115.662,39.025
河北省       ,保定市       ,定兴县政府(*)                                          ,115.814,39.269
河北省       ,保定市       ,唐县政府楼(*)                                          ,114.976,38.748
河北省       ,保定市       ,高阳县环保局(*)                                         ,115.764,38.692
河北省       ,保定市       ,容城县环境保护局(*)                                       ,115.868,39.048
河北省       ,保定市       ,涞源县环保局(*)                                         ,114.698,39.359
河北省       ,保定市       ,望都县环境监测站(*)                                       ,115.16,38.705
河北省       ,保定市       ,安新民政局(*)                                          ,115.942,38.942
河北省       ,保定市       ,曲阳县环保局(*)                                         ,114.725,38.62
河北省       ,保定市       ,蠡县县政府(*)                                          ,115.578,38.488
河北省       ,保定市       ,顺平县环保局(*)                                         ,115.15,38.85
河北省       ,保定市       ,博野县招生办(*)                                         ,115.462,38.453
河北省       ,保定市       ,雄县环境保护局(*)                                        ,116.09,38.982
河北省       ,保定市       ,安国市政府(*)                                          ,115.322,38.428
河北省       ,保定市       ,高碑店环保局(*)                                         ,115.88,39.332
河北省       ,定州市       ,定州武装部                                             ,114.997,38.522
河北省       ,涿州市       ,涿州监测站                                             ,116.034,39.492
河北省       ,沧州市       ,沧州市环保局                                            ,116.871,38.323
河北省       ,沧州市       ,沧县城建局                                             ,116.885,38.299
河北省       ,沧州市       ,电视转播站                                             ,116.858,38.325
河北省       ,沧州市       ,青县政府(*)                                           ,116.81,38.589
河北省       ,沧州市       ,东光县铁佛寺(*)                                         ,116.533,37.872
河北省       ,沧州市       ,海兴县武装部(*)                                         ,117.493,38.143
河北省       ,沧州市       ,盐山县盐山中学(*)                                        ,117.237,38.064
河北省       ,沧州市       ,肃宁县政府(*)                                          ,115.823,38.423
河北省       ,沧州市       ,南皮县教师进修学校(*)                                      ,116.712,38.036
河北省       ,沧州市       ,吴桥县桑园镇政府(*)                                       ,116.395,37.63
河北省       ,沧州市       ,献县政府(*)                                           ,116.117,38.189
河北省       ,沧州市       ,孟村县气象局(*)                                         ,117.125,38.056
河北省       ,沧州市       ,泊头市政府(*)                                          ,116.585,38.089
