省份,城市,站点,经度,纬度
天津市       ,天津市       ,宾水西道                                              ,117.15778,39.09812
天津市       ,天津市       ,南口路                                               ,117.1933667,39.17295
天津市       ,天津市       ,勤俭道                                               ,117.1446333,39.16543333
天津市       ,天津市       ,南京路                                               ,117.18879,39.11991
天津市       ,天津市       ,大直沽八号路                                            ,117.2452,39.11083
天津市       ,天津市       ,前进道                                               ,117.2016833,39.0927
天津市       ,天津市       ,淮河道                                               ,117.18495,39.22605
天津市       ,天津市       ,香山道                                               ,117.2688333,39.13375
天津市       ,天津市       ,跃进路                                               ,117.3145,39.08714
天津市       ,天津市       ,第四大街                                              ,117.70715,39.03431667
天津市       ,天津市       ,永明路                                               ,117.45735,38.83945
天津市       ,天津市       ,津同路                                               ,116.991,39.141
天津市       ,天津市       ,津沽路                                               ,117.3747333,38.98458333
天津市       ,天津市       ,塘沽营口道                                             ,117.6503,39.02096667
天津市       ,天津市       ,河西一经路                                             ,117.7917667,39.24735
天津市       ,天津市       ,渔阳路                                               ,117.293766,39.6939166
天津市       ,天津市       ,泉州南路                                              ,117.0439833,39.37261667
天津市       ,天津市       ,东环路                                               ,117.4444167,40.04175
天津市       ,天津市       ,滨水东路                                              ,117.8165667,39.32815
天津市       ,天津市       ,北纬二路                                              ,116.9148,38.94316667
天津市       ,天津市       ,海泰发展二路                                            ,117.0901667,39.07846667
天津市       ,天津市       ,航天路                                               ,117.3747667,39.15106667
天津市       ,天津市       ,汉北路                                               ,117.7641667,39.15875
天津市       ,天津市       ,广安道                                               ,116.7794167,38.84516667
天津市       ,天津市       ,宝白公路                                              ,117.3431167,39.51626667
天津市       ,天津市       ,雍阳西道                                              ,117.04264,39.384055
天津市       ,天津市       ,团泊洼                                               ,117.1566333,38.91943333
